Fecha,Precipitacion,produccion_litros,riego_activo,demanda_litros,balance_litros,tanque_inicio_L,tanque_entrada_L,tanque_salida_L,tanque_desborde_L,tanque_fin_L,tanque_fin_m3,tanque_fin_pct,tanque_fallo
2019-01-01,0.2000,363.9231,False,0.0000,363.9231,54000.0000,363.9231,0.0000,0.0000,54363.9231,54.3639,50.3370,False
2019-01-02,0.2000,363.9231,False,0.0000,363.9231,54363.9231,363.9231,0.0000,0.0000,54727.8462,54.7278,50.6739,False
2019-01-03,0.2000,363.9231,False,0.0000,363.9231,54727.8462,363.9231,0.0000,0.0000,55091.7693,55.0918,51.0109,False
2019-01-04,0.2000,363.9231,True,26715.8900,-26351.9669,55091.7693,363.9231,26715.8900,0.0000,28739.8024,28.7398,26.6109,False
2019-01-05,0.2000,363.9231,False,0.0000,363.9231,28739.8024,363.9231,0.0000,0.0000,29103.7255,29.1037,26.9479,False
2019-01-06,0.2000,363.9231,False,0.0000,363.9231,29103.7255,363.9231,0.0000,0.0000,29467.6486,29.4676,27.2849,False
2019-01-07,0.4000,727.8462,False,0.0000,727.8462,29467.6486,727.8462,0.0000,0.0000,30195.4948,30.1955,27.9588,False
2019-01-08,0.2000,363.9231,False,0.0000,363.9231,30195.4948,363.9231,0.0000,0.0000,30559.4179,30.5594,28.2958,False
2019-01-09,0.2000,363.9231,False,0.0000,363.9231,30559.4179,363.9231,0.0000,0.0000,30923.3410,30.9233,28.6327,False
2019-01-10,0.2000,363.9231,False,0.0000,363.9231,30923.3410,363.9231,0.0000,0.0000,31287.2641,31.2873,28.9697,False
2019-01-11,0.2000,363.9231,True,26715.8900,-26351.9669,31287.2641,363.9231,26715.8900,0.0000,4935.2972,4.9353,4.5697,False
2019-01-12,0.2000,363.9231,False,0.0000,363.9231,4935.2972,363.9231,0.0000,0.0000,5299.2203,5.2992,4.9067,False
2019-01-13,0.2000,363.9231,False,0.0000,363.9231,5299.2203,363.9231,0.0000,0.0000,5663.1434,5.6631,5.2437,False
2019-01-14,0.2000,363.9231,False,0.0000,363.9231,5663.1434,363.9231,0.0000,0.0000,6027.0665,6.0271,5.5806,False
2019-01-15,0.0000,0.0000,True,26715.8900,-26715.8900,6027.0665,0.0000,26715.8900,0.0000,0.0000,0.0000,0.0000,True
2019-01-16,0.2000,363.9231,False,0.0000,363.9231,0.0000,363.9231,0.0000,0.0000,363.9231,0.3639,0.3370,False
2019-01-17,0.2000,363.9231,False,0.0000,363.9231,363.9231,363.9231,0.0000,0.0000,727.8462,0.7278,0.6739,False
2019-01-18,0.2000,363.9231,False,0.0000,363.9231,727.8462,363.9231,0.0000,0.0000,1091.7693,1.0918,1.0109,False
2019-01-19,0.2000,363.9231,True,26715.8900,-26351.9669,1091.7693,363.9231,26715.8900,0.0000,0.0000,0.0000,0.0000,True
2019-01-20,0.2000,363.9231,False,0.0000,363.9231,0.0000,363.9231,0.0000,0.0000,363.9231,0.3639,0.3370,False
2019-01-21,0.0000,0.0000,False,0.0000,0.0000,363.9231,0.0000,0.0000,0.0000,363.9231,0.3639,0.3370,False
2019-01-22,0.0000,0.0000,False,0.0000,0.0000,363.9231,0.0000,0.0000,0.0000,363.9231,0.3639,0.3370,False
2019-01-23,0.2000,363.9231,True,26715.8900,-26351.9669,363.9231,363.9231,26715.8900,0.0000,0.0000,0.0000,0.0000,True
2019-01-24,0.4000,727.8462,False,0.0000,727.8462,0.0000,727.8462,0.0000,0.0000,727.8462,0.7278,0.6739,False
2019-01-25,0.2000,363.9231,False,0.0000,363.9231,727.8462,363.9231,0.0000,0.0000,1091.7693,1.0918,1.0109,False
2019-01-26,0.2000,363.9231,False,0.0000,363.9231,1091.7693,363.9231,0.0000,0.0000,1455.6924,1.4557,1.3479,False
2019-01-27,0.2000,363.9231,False,0.0000,363.9231,1455.6924,363.9231,0.0000,0.0000,1819.6155,1.8196,1.6848,False
2019-01-28,0.2000,363.9231,True,26715.8900,-26351.9669,1819.6155,363.9231,26715.8900,0.0000,0.0000,0.0000,0.0000,True
2019-01-29,0.2000,363.9231,False,0.0000,363.9231,0.0000,363.9231,0.0000,0.0000,363.9231,0.3639,0.3370,False
2019-01-30,0.2000,363.9231,False,0.0000,363.9231,363.9231,363.9231,0.0000,0.0000,727.8462,0.7278,0.6739,False
2019-01-31,0.0000,0.0000,False,0.0000,0.0000,727.8462,0.0000,0.0000,0.0000,727.8462,0.7278,0.6739,False
2019-02-01,0.0000,0.0000,True,26715.8900,-26715.8900,727.8462,0.0000,26715.8900,0.0000,0.0000,0.0000,0.0000,True
2019-02-02,0.0000,0.0000,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
2019-02-03,0.0000,0.0000,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
2019-02-04,0.0000,0.0000,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
2019-02-05,0.0000,0.0000,True,26715.8900,-26715.8900,0.0000,0.0000,26715.8900,0.0000,0.0000,0.0000,0.0000,True
2019-02-06,0.0000,0.0000,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
2019-02-07,0.0000,0.0000,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
2019-02-08,0.0000,0.0000,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
2019-02-09,0.0000,0.0000,True,26715.8900,-26715.8900,0.0000,0.0000,26715.8900,0.0000,0.0000,0.0000,0.0000,True
2019-02-10,0.0000,0.0000,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
2019-02-11,0.0000,0.0000,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
